name,description,notation
"(unknown)","not specified","unknown"
"Open face (ambient)","sampling of particles without size cut-off at ambient temperature and relative humidity","openFaceAmbient"
"Open face (heated)","sampling of particles without size cut-off at elevated temperature and therefore reduced relative humidity (normally <40% RH)","openFaceHeated"
"PM10 (ambient)","sampling of particles with size cut-off at 10 µm at ambient temperature and relative humidity","pm10Ambient"
"PM10 (heated)","sampling of particles with size cut-off at 10 µm  at elevated temperature and therefore reduced relative humidity (normally <40% RH)","pm10Heated"
"PM2.5 (ambient)","sampling of particles with size cut-off at 2.5 µm at ambient temperature and relative humidity","pm25Ambient"
"PM2.5 (heated)","sampling of particles with size cut-off at 2.5 µm at elevated temperature and therefore reduced relative humidity (normally <40% RH)","pm25Heated"
"PM1 (ambient)","sampling of particles with size cut-off at 1 µm at ambient temperature and relative humidity","pm1Ambient"
"PM1 (heated)","sampling of particles with size cut-off at 1 µm at elevated temperature and therefore reduced relative humidity (normally <40% RH)","pm1Heated"
"(inapplicable)","inapplicable","inpplicable"
